06069-2020Q3,2020-09-30T00:00:00Z,0,241715292
06093-2020Q3,2020-09-30T00:00:00Z,0,202070086
06013-2020Q3,2020-09-30T00:00:00Z,0,4740735418
06085-2020Q3,2020-09-30T00:00:00Z,400,11938925339
06047-2020Q3,2020-09-30T00:00:00Z,0,919717702
06089-2020Q3,2020-09-30T00:00:00Z,0,975006267
06023-2020Q3,2020-09-30T00:00:00Z,2160,620064830
06109-2017Q2,2017-06-30T00:00:00Z,0,184931744
06115-2017Q2,2017-06-30T00:00:00Z,0,148856704
06099-2015Q3,2015-09-30T00:00:00Z,22240,2097252302
06105-2015Q3,2015-09-30T00:00:00Z,2400,31135606
06009-2015Q3,2015-09-30T00:00:00Z,45200,90966685
06031-2015Q3,2015-09-30T00:00:00Z,0,415681223
06009-2025Q3,2025-09-30T00:00:00Z,0,146641843
06087-2025Q3,2025-09-30T00:00:00Z,0,1315558286
06097-2025Q3,2025-09-30T00:00:00Z,0,2993641102
06013-2025Q3,2025-09-30T00:00:00Z,0,5516044864
06111-2025Q3,2025-09-30T00:00:00Z,0,5104275401
06059-2015Q3,2015-09-30T00:00:00Z,1131920,15652464831
06029-2015Q1,2015-03-31T00:00:00Z,0,3442394959
06027-2015Q1,2015-03-31T00:00:00Z,0,95680671
06003-2015Q3,2015-09-30T00:00:00Z,0,11174614
06007-2015Q3,2015-09-30T00:00:00Z,8080,796308229
06091-2015Q3,2015-09-30T00:00:00Z,0,5904597
06039-2015Q3,2015-09-30T00:00:00Z,6400,399690942
06041-2015Q3,2015-09-30T00:00:00Z,51440,1282770553
06101-2015Q3,2015-09-30T00:00:00Z,6400,404910227
06003-2015Q1,2015-03-31T00:00:00Z,0,11284875
06089-2015Q1,2015-03-31T00:00:00Z,0,656280079
06025-2017Q4,2017-12-31T00:00:00Z,0,792443471
06025-2019Q4,2019-12-31T00:00:00Z,1600,793884790
06007-2017Q4,2017-12-31T00:00:00Z,8320,882193228
06087-2017Q4,2017-12-31T00:00:00Z,62240,993894786
06035-2019Q4,2019-12-31T00:00:00Z,0,76756665
06107-2019Q4,2019-12-31T00:00:00Z,3620,2273034975
06081-2019Q3,2019-09-30T00:00:00Z,8640,4591517826
06099-2019Q3,2019-09-30T00:00:00Z,1200,2501733644
06105-2025Q3,2025-09-30T00:00:00Z,0,33678976
06011-2025Q3,2025-09-30T00:00:00Z,0,157602049
06007-2022Q1,2022-03-31T00:00:00Z,0,1094966223
06107-2019Q3,2019-09-30T00:00:00Z,32800,1960477991
06097-2022Q1,2022-03-31T00:00:00Z,0,2759596164
06013-2022Q1,2022-03-31T00:00:00Z,0,5125239609
06105-2022Q1,2022-03-31T00:00:00Z,0,28644584
06047-2022Q1,2022-03-31T00:00:00Z,0,1003008675
06061-2022Q1,2022-03-31T00:00:00Z,0,3130904685
06111-2019Q3,2019-09-30T00:00:00Z,36960,3698561368
06105-2019Q3,2019-09-30T00:00:00Z,4800,30667385
06083-2019Q3,2019-09-30T00:00:00Z,59465,1957832879
06091-2019Q3,2019-09-30T00:00:00Z,0,5974546
06075-2019Q3,2019-09-30T00:00:00Z,495354,5151046921
06007-2024Q3,2024-09-30T00:00:00Z,0,1066970002
06049-2024Q3,2024-09-30T00:00:00Z,0,31332741
06047-2020Q4,2020-12-31T00:00:00Z,0,948684226
06053-2016Q1,2016-03-31T00:00:00Z,0,1438318580
06063-2024Q2,2024-06-30T00:00:00Z,0,90981829
06049-2023Q4,2023-12-31T00:00:00Z,960,29007531
06097-2023Q4,2023-12-31T00:00:00Z,288680,3092615559
06101-2024Q2,2024-06-30T00:00:00Z,0,608160731
06085-2024Q2,2024-06-30T00:00:00Z,0,13994883370
06069-2023Q3,2023-09-30T00:00:00Z,0,296639367
06059-2023Q3,2023-09-30T00:00:00Z,526656,21892147873
06087-2023Q3,2023-09-30T00:00:00Z,37040,1290917851
06033-2023Q3,2023-09-30T00:00:00Z,0,205064814
06037-2023Q3,2023-09-30T00:00:00Z,2011440,52173010034
06071-2017Q3,2017-09-30T00:00:00Z,779040,9729959894
06099-2017Q3,2017-09-30T00:00:00Z,3920,2274769540
06017-2017Q4,2017-12-31T00:00:00Z,180200,595205241
06061-2017Q4,2017-12-31T00:00:00Z,2400,2515380255
06035-2024Q1,2024-03-31T00:00:00Z,0,74161874
06079-2024Q1,2024-03-31T00:00:00Z,0,1618095728
06023-2024Q1,2024-03-31T00:00:00Z,0,515028956
06069-2024Q1,2024-03-31T00:00:00Z,0,215970856
06109-2024Q1,2024-03-31T00:00:00Z,0,218006563
06065-2024Q1,2024-03-31T00:00:00Z,0,14395280191
06091-2024Q1,2024-03-31T00:00:00Z,0,6069364
06109-2023Q3,2023-09-30T00:00:00Z,0,269363548
