venue_id,venue_name,city_name,n_events,n_artists,capacity,capacity_source
2bd7a852,Milk Bar,San Francisco,2,2,200,heuristic_bar
4bd24b5e,Corbin Bowl,Los Angeles,2,2,500,default_small_club
5bd057c0,Central Park,Rancho Santa Margarita,2,2,500,default_small_club
2bd2a462,Bob Baker Marionette Theater,Los Angeles,2,2,1200,heuristic_theater
7bd7fea8,Broad Stage,Santa Monica,2,2,500,default_small_club
5bd303f0,Ramona Garden Park,Grover Beach,2,2,500,heuristic_garden
73d0565d,Third Street Tavern,Highland,2,2,250,heuristic_tavern
5bd3cb04,Sebastiani Theatre,Sonoma,2,2,1200,heuristic_theater
43d29b83,Madera County Fairgrounds,Madera,2,2,8000,heuristic_fairgrounds
1bd3518c,Private Venue,Los Angeles,2,1,500,default_small_club
73d042d5,Drinx Bar & Grill,Lakeport,2,2,200,heuristic_bar
5bd02b1c,Silent Valley Studios,Temecula,2,1,500,default_small_club
33d31c05,Paramount Theatre,Los Angeles,2,2,1200,heuristic_theater
4bd0c79a,San Diego Convention Center,San Diego,2,2,5000,heuristic_convention
73d05a85,The Slipper Clutch,Los Angeles,2,2,500,default_small_club
3d62d8f,Aldrich Park,Irvine,2,2,500,default_small_club
73d05a51,Private Venue,East Los Angeles,2,2,500,default_small_club
7bd39234,Rodney Strong Vineyards,Healdsburg,2,2,500,default_small_club
63d09e67,Windmill Cove Bar & Grill,Stockton,2,2,200,heuristic_bar
23d72c77,The Blue Lagoon,Santa Cruz,2,2,500,default_small_club
3d0f5f7,Dignity Health Amphitheatre,Bakersfield,2,2,8000,heuristic_amphitheatre
33d080d5,Brain Dead Studios,Los Angeles,2,2,500,default_small_club
13d4c185,St. James Park,San Jose,2,2,500,default_small_club
4bd72f8a,Humbrews,Arcata,2,2,500,default_small_club
33d294e5,Good Times at Davey Wayne's,Los Angeles,2,1,500,default_small_club
6bd33612,Rock and Roll,San Diego,2,2,500,default_small_club
23d21cef,Boulevard Music,Los Angeles,2,2,500,default_small_club
13d63d0d,Spin,San Diego,2,2,500,default_small_club
2bd398a6,Palmdale Amphitheater,Palmdale,2,2,8000,heuristic_amphitheatre
43d65727,Cobb's Comedy Club,San Francisco,2,2,500,default_small_club
1bd09d74,Private Event,Los Angeles,2,2,500,default_small_club
bd6c54a,Burbank Hilton,Burbank,2,2,500,default_small_club
5bde37cc,Permanent Records Roadhouse,Los Angeles,2,2,500,default_small_club
1bd2d99c,Cold Spring Tavern,Santa Barbara,2,1,250,heuristic_tavern
2bd0649a,Spa Montage Healdsburg,Healdsburg,2,1,500,default_small_club
73d4be7d,Zellerbach Hall,Berkeley,2,2,800,heuristic_hall
13de95b1,E. Claire Raley Studios for the Performing Arts,Sacramento,2,1,500,default_small_club
5bd0770c,Bristol’s Cider House,Atascadero,2,2,500,default_small_club
1bd0659c,Hotel Ziggy,West Hollywood,2,2,500,default_small_club
23d26887,Sound Room,Oakland,2,2,500,default_small_club
7bd06a8c,The Grape,Ventura,2,2,500,default_small_club
43d09f2f,Ruby's Nightclub,Oxnard,2,2,500,default_small_club
13d05529,UCSF Mission Bay,San Francisco,2,2,500,default_small_club
33d35c39,Collective 47,Apple Valley,2,2,500,default_small_club
5bd42bcc,Capitol Mall,Sacramento,2,2,500,default_small_club
13d079f5,Gilmore Music,Long Beach,2,2,500,default_small_club
13d71545,Warner Bros. Studios,Burbank,2,2,500,default_small_club
1bd259c4,Odd Fellows Hall,Auburn,2,1,800,heuristic_hall
6bd2aea6,Affliction Studios,Seal Beach,1,1,500,default_small_club
bd43d6e,Chabot Space and Science Center,Oakland,1,1,500,default_small_club
23d478af,Empress Theatre,Vallejo,1,1,1200,heuristic_theater
1bd595f0,Lake Forest Sports Park and Recreation Center,Lake Forest,1,1,500,default_small_club
73d04241,Building 43,Alameda,1,1,500,default_small_club
73de62e1,Punch Line San Francisco,San Francisco,1,1,500,default_small_club
73d05205,Private Venue,Lancaster,1,1,500,default_small_club
3d63d0f,War Memorial Opera House,San Francisco,1,1,500,default_small_club
4bd0c756,Papermill Creek Saloon,Forest Knolls,1,1,500,default_small_club
33d0f419,Roxx On Main,Martinez,1,1,500,default_small_club
23d068eb,Minnow Arts,Santa Cruz,1,1,500,default_small_club
43d32797,South Central Farm,Los Angeles,1,1,500,default_small_club
53d3ebb9,Gerstle Park Neighborhood,San Rafael,1,1,500,default_small_club
5bd20b1c,Parq Restaurant & Nightclub,San Diego,1,1,500,default_small_club
73d77e4d,Newport Dunes Waterfront Resort & Marina,Newport Beach,1,1,500,default_small_club
33d2d8d9,Permanent Records,Los Angeles,1,1,500,default_small_club
63d2fa77,Chinatown,Los Angeles,1,1,500,default_small_club
2bde3006,Simi Valley Town Center,Simi Valley,1,1,500,default_small_club
33deac25,Arion Press,San Francisco,1,1,500,default_small_club
43d3a34f,Tackle Box Bar & Grill,Chico,1,1,200,heuristic_bar
